seasonNumber,episodeNumber,episodeTitle
1,1,The Boy in the Iceberg
1,2,The Avatar Returns
1,3,The Southern Air Temple
1,4,The Warriors of Kyoshi
1,5,The King of Omashu
1,6,Imprisoned
1,7,"The Spirit World (Winter Solstice, Part 1)"
1,8,"Avatar Roku (Winter Solstice, Part 2)"
1,9,The Waterbending Scroll
1,10,Jet
1,11,The Great Divide
1,12,The Storm
1,13,The Blue Spirit
1,14,The Fortuneteller
1,15,Bato of the Water Tribe
1,16,The Deserter
1,17,The Northern Air Temple
1,18,The Waterbending Master
1,19,"The Siege of the North, Part 1"
1,20,"The Siege of the North, Part 2"
2,1,The Avatar State
2,2,The Cave of Two Lovers
2,3,Return to Omashu
2,4,The Swamp
2,5,Avatar Day
2,6,The Blind Bandit
2,7,Zuko Alone
2,8,The Chase
2,9,Bitter Work
2,10,The Library
2,11,The Desert
2,12,The Serpent's Pass
2,13,The Drill
2,14,City of Walls and Secrets
2,15,The Tales of Ba Sing Se
2,16,Appa's Lost Days
2,17,Lake Laogai
2,18,The Earth King
2,19,The Guru
2,20,The Crossroads of Destiny
3,1,The Awakening
3,2,The Headband
3,3,The Painted Lady
3,4,Sokka's Master
3,5,The Beach
3,6,The Avatar and the Fire Lord
3,7,The Runaway
3,8,The Puppetmaster
3,9,Nightmares and Daydreams
3,10,The Day of Black Sun
3,11,"The Day of Black Sun, Part 2: The Eclipse"
3,12,The Western Air Temple
3,13,The Firebending Masters
3,14,The Boiling Rock: Part 1
3,15,The Boiling Rock: Part 2
3,16,The Southern Raiders
3,17,The Ember Island Players
3,18,"Sozin's Comet, Part 1: The Phoenix King"
3,19,"Sozin's Comet, Part 2: The Old Masters"
3,20,"Sozin's Comet, Part 3: Into the Inferno"
3,21,"Sozin's Comet, Part 4: Avatar Aang"
